"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Mar 04",,"67.03","25.44","2.92","0.26","21.27",,"28.86","14.78","37.38",,"35.91","3.47",,"32.44","11.85","20.59",,,"20.59","59.53",,,,,"15.25",,,,,,,,,,,,,,,"2.32","38.05",,,,,,,,,
"Dec 03",,"51.01","17.86","0.96","0.10","25.74",,"30.46","10.60","24.90",,"29.71","1.52",,"28.19","9.24","18.95",,,"18.95","59.52",,,,,"13.89",,,,,,,,,,,,,,,"2.32","39.02",,,,,,,,,
"Sep 03",,"48.60","17.54","0.85","0.10","25.10",,"30.57","9.06","19.91",,"32.65","2.59",,"30.06","10.22","19.84",,,"19.84","59.21",,,,,"19.55",,,,,,,,,,,,,,,"2.20","37.12",,,,,,,,,
"Jun 03",,"44.52","11.24","0.33","0.29","23.08",,"27.67","8.49","15.26",,"28.05","-2.04",,"30.09","10.75","19.34",,,"19.34","59.21",,,,,"14.51",,,,,,,,,,,,,,,"2.19","37.04",,,,,,,,,
"Mar 03",,"48.00","7.51","0.07","0.01","25.07",,"24.37","7.76","18.19",,"30.34","13.23",,"17.11","7.05","10.06",,,"10.06","59.21",,,,,,,,,,,,,,,,,,,,"2.19","37.03",,,,,,,,,
"Dec 02",,"36.63","1.41","0.08",,"20.39",,"22.16","5.58","13.37",,"17.41","0.71",,"16.69","5.40","11.29",,,"11.29","59.21",,,,,"25.10",,,,,,,,,,,,,,,"2.19","36.99",,,,,,,,,
"Sep 02",,"39.15","1.31","0.01",,"22.03",,"20.80","5.06","16.07",,"20.56","2.58",,"17.99","6.10","11.89",,,"11.89","59.21",,,,,"26.59",,,,,,,,,,,,,,,"2.16","36.42",,,,,,,,,
"Jun 02",,"38.80","0.68","0.03","0.38","13.55",,"19.50","3.34","9.34",,"21.27","3.05",,"18.22","6.50","11.72",,,"11.72","59.21",,,,,"27.20",,,,,,,,,,,,,,,"2.16","36.40",,,,,,,,,
"Mar 02",,"30.44","4.37","0.13","0.23","17.45",,"15.81","3.30","13.66",,"19.86","-3.94",,"23.79","4.49","19.30",,,"19.30","59.21",,,,,,,,,,,,,,,,,,,,"2.16","36.40",,,,,,,,,
"Dec 01",,"34.04",,,,"12.57",,"13.71","3.10","5.61","1.34","22.85","7.01",,"15.83","5.00","10.83",,,"10.83","59.21",,,,,,,,,,,,,,,,,,,,"2.15","36.23",,,,,,,,,
"Sep 01",,"28.87",,,,"11.98",,"12.47","3.44","5.93","1.10","17.92","3.01",,"14.90","4.25","10.65",,,"10.65","59.21",,,,,,,,,,,,,,,,,,,,"2.14","36.20",,,,,,,,,
"Jun 01",,"33.89",,,,"11.79",,"12.72","3.74","2.88","1.59","24.74","4.26",,"20.48","6.75","13.73",,,"13.73","59.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 01",,"47.44",,,,"25.70",,"16.58","4.47","6.21","9.47","36.41","5.55",,"30.86","18.00","12.86",,,"12.86","59.21",,,,,,,,,,,,,,,,,,,,"2.44","41.29",,,,,,,,,
"Dec 00",,"43.56",,,,"12.13",,"17.97","2.99","8.50","10.07","16.16","0.27",,"15.90","5.50","10.40",,,"10.40","45.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 00",,"43.97",,,,"11.74",,"15.93","3.66","7.24","11.85","17.04","0.24",,"16.79","5.50","11.29",,,"11.29","45.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 00",,"45.20",,,,"12.70",,"16.50","2.89","6.09","11.21","21.20","1.66",,"19.54","4.50","15.04",,,"15.04","45.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 00",,"131.97",,,,,,"25.82",,"29.50","18.03","58.62",,,"58.62","15.00","43.62",,,"43.62","45.91","431.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 99",,,,,,"11.11",,"21.66",,"10.49","11.88",,,,,"5.50",,,,"10.33","36.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 99",,,,,,"10.16",,"18.53",,"9.14","12.74",,"3.46",,,"5.00",,,,"3.04","36.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 99",,,,,,"11.51",,"17.97",,"9.15","13.96",,,,,"4.00",,,,"4.11","36.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 99",,,,,,"11.83",,"20.61",,"16.55","17.89",,,,,"10.40",,,,"3.06","36.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 98",,,,,,"9.54",,"21.71",,"9.17","17.22",,,,,"3.00",,,,"2.06","36.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 98",,,,,,"9.48",,"23.67",,"11.80","19.02",,,,,"5.00",,,,"2.05","36.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun 98",,,,,,"11.81",,"24.96",,"11.32","19.48",,,,,"4.00",,,,"5.02","36.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
