,KOTAKBANK.NS.Close,,SBIN.NS.Close,,AXISBANK.NS.Adjusted,,HDFCBANK.NS.Close
17/06/2010,193.199997,18/06/2010,237.259995,2010-06-18,181.058441,18/06/2010,398.339996
18/06/2010,193.261993,21/06/2010,238.779999,2010-06-21,186.408752,21/06/2010,399.769989
21/06/2010,198.350006,22/06/2010,235.455002,2010-06-22,184.667664,22/06/2010,397.410004
22/06/2010,198.337006,23/06/2010,234.955002,2010-06-23,186.72258,23/06/2010,399.75
23/06/2010,196.024994,24/06/2010,235.755005,2010-06-24,188.785004,24/06/2010,400.320007
24/06/2010,189.024994,25/06/2010,230.080002,2010-06-25,186.67775,25/06/2010,389.529999
25/06/2010,187.675003,28/06/2010,230.365005,2010-06-28,188.59819,28/06/2010,390.140015
28/06/2010,190.738007,29/06/2010,229.115005,2010-06-29,185.414902,29/06/2010,380.880005
29/06/2010,186.136993,30/06/2010,230.199997,2010-06-30,185.676453,30/06/2010,383.799988
30/06/2010,192.738007,01/07/2010,226.225006,2010-07-01,184.368744,01/07/2010,381.480011
01/07/2010,192.537994,02/07/2010,226.505005,2010-07-02,184.899307,02/07/2010,382.570007
02/07/2010,189.863007,05/07/2010,227.25,2010-07-05,184.712494,05/07/2010,383.040009
05/07/2010,190.774994,06/07/2010,231.279999,2010-07-06,187.305435,06/07/2010,392.799988
06/07/2010,191.386993,07/07/2010,230.410004,2010-07-07,184.876892,07/07/2010,387.459991
07/07/2010,187.875,08/07/2010,235.679993,2010-07-08,185.549408,08/07/2010,389.140015
08/07/2010,190.011993,09/07/2010,236.889999,2010-07-09,190.264557,09/07/2010,400.549988
09/07/2010,190.899994,12/07/2010,240.070007,2010-07-12,192.536194,12/07/2010,409.890015
12/07/2010,189.962006,13/07/2010,242.910004,2010-07-13,194.239899,13/07/2010,414.51001
13/07/2010,190.324997,14/07/2010,246.449997,2010-07-14,196.444305,14/07/2010,417.26001
14/07/2010,188.725006,15/07/2010,243.985001,2010-07-15,201.802063,15/07/2010,412.519989
15/07/2010,190.188004,16/07/2010,244.899994,2010-07-16,202.825775,16/07/2010,407.790009
16/07/2010,195.863007,19/07/2010,245.524994,2010-07-19,203.371307,19/07/2010,409.570007
19/07/2010,198.061996,20/07/2010,244.899994,2010-07-20,204.58931,20/07/2010,408.880005
20/07/2010,195.561996,21/07/2010,243.675003,2010-07-21,201.331299,21/07/2010,406.609985
21/07/2010,196.238007,22/07/2010,247.625,2010-07-22,202.773483,22/07/2010,411.450012
22/07/2010,192.375,23/07/2010,249.679993,2010-07-23,207.727753,23/07/2010,407.720001
23/07/2010,192.438004,26/07/2010,241.014999,2010-07-26,207.115005,26/07/2010,410.380005
26/07/2010,190.925003,27/07/2010,243.514999,2010-07-27,205.411285,27/07/2010,413.359985
27/07/2010,191.712006,28/07/2010,247.130005,2010-07-28,201.749741,28/07/2010,417.220001
28/07/2010,191.399994,29/07/2010,247.304993,2010-07-29,204.088654,29/07/2010,420.119995
29/07/2010,191.225006,30/07/2010,250.289993,2010-07-30,200.77832,30/07/2010,425.380005
30/07/2010,192.811996,02/08/2010,258.63501,2010-08-02,201.869324,02/08/2010,427.269989
02/08/2010,195.863007,03/08/2010,260.054993,2010-08-03,202.653931,03/08/2010,424.48999
03/08/2010,200.324997,04/08/2010,259.515015,2010-08-04,198.977478,04/08/2010,422.959991
04/08/2010,206.050003,05/08/2010,264.570007,2010-08-05,196.76561,05/08/2010,420.049988
05/08/2010,206.136993,06/08/2010,261.934998,2010-08-06,196.42186,06/08/2010,418.140015
06/08/2010,202.886993,09/08/2010,265.084991,2010-08-09,195.749359,09/08/2010,416.399994
09/08/2010,205.811996,10/08/2010,262.964996,2010-08-10,193.522552,10/08/2010,419.029999
10/08/2010,202.375,11/08/2010,259.959991,2010-08-11,192.655762,11/08/2010,417.899994
11/08/2010,202.261993,12/08/2010,278.440002,2010-08-12,196.61615,12/08/2010,414.630005
12/08/2010,200.912994,13/08/2010,285.024994,2010-08-13,198.499222,13/08/2010,417.51001
13/08/2010,207.324997,16/08/2010,282.140015,2010-08-16,199.754623,16/08/2010,416.799988
16/08/2010,207.425003,17/08/2010,281.845001,2010-08-17,198.88031,17/08/2010,424.209991
17/08/2010,208.311996,18/08/2010,281.470001,2010-08-18,202.24292,18/08/2010,438.390015
18/08/2010,210.125,19/08/2010,280.570007,2010-08-19,203.782272,19/08/2010,446.029999
19/08/2010,214.761993,20/08/2010,278.690002,2010-08-20,204.297882,20/08/2010,446.26001
20/08/2010,215.675003,23/08/2010,282.325012,2010-08-23,206.427521,23/08/2010,439.320007
23/08/2010,217.087006,24/08/2010,284.579987,2010-08-24,205.067566,24/08/2010,441.730011
24/08/2010,214.511993,25/08/2010,282.355011,2010-08-25,203.505798,25/08/2010,438.450012
25/08/2010,209.712006,26/08/2010,286.61499,2010-08-26,204.417465,26/08/2010,435.670013
26/08/2010,209.975006,27/08/2010,279.440002,2010-08-27,198.312424,27/08/2010,427.829987
27/08/2010,209.574997,30/08/2010,280,2010-08-30,197.864075,30/08/2010,426.339996
30/08/2010,211.613007,31/08/2010,276.640015,2010-08-31,198.865372,31/08/2010,426.850006
31/08/2010,207.136993,01/09/2010,277.649994,2010-09-01,202.369949,01/09/2010,429.850006
01/09/2010,207.5,02/09/2010,275.910004,2010-09-02,207.443771,02/09/2010,437.48999
02/09/2010,203.962006,03/09/2010,277.339996,2010-09-03,206.188416,03/09/2010,438.790009
03/09/2010,206.988007,06/09/2010,285.910004,2010-09-06,208.430161,06/09/2010,440.859985
06/09/2010,208.988007,07/09/2010,283.704987,2010-09-07,208.856064,07/09/2010,439.820007
07/09/2010,212.199997,08/09/2010,289.589996,2010-09-08,206.427521,08/09/2010,435.920013
08/09/2010,211.636993,09/09/2010,298.404999,2010-09-09,206.151047,09/09/2010,448.970001
09/09/2010,216.149994,13/09/2010,314.855011,2010-09-13,213.145294,13/09/2010,456.48999
13/09/2010,227.350006,14/09/2010,310.954987,2010-09-14,213.160248,14/09/2010,466.839996
14/09/2010,237.824997,15/09/2010,306.029999,2010-09-15,219.691208,15/09/2010,475.089996
15/09/2010,236.925003,16/09/2010,309.480011,2010-09-16,221.903046,16/09/2010,479.059998
16/09/2010,233.274994,17/09/2010,309.274994,2010-09-17,225.146133,17/09/2010,480.119995
